date,tariff,rule,alpha,flex_share,L0_kWh,L_shifted_kWh,shift_potential_kWh,shift_out_kWh,shift_in_kWh,unallocated_shift_kWh,emission_base_kgCO2,emission_shifted_kgCO2,cost_base_EUR,cost_shifted_EUR,max_L0_kWh,max_L_shifted_kWh,daily_peak_cap_kWh,ramp_limit_kWh,ramp_violation,peak_violation,max_energy_difference_kWh,emission_reduction_kgCO2,cost_change_EUR,energy_conservation_error_kWh
2023-04-28,flat,A,,0.1,13.885,13.885,0.30310000000000004,0.30310000000000004,0.30310000000000004,0.0,2.41805949,2.414662935,1.4955475645833332,1.4955475645833332,1.282,1.274,1.4102000000000001,1.0574999999999997,False,False,0.0,0.0033965550000001343,0.0,0.0
2023-04-28,flat,A,,0.15,13.885,13.885,0.45465,0.45465,0.45465,0.0,2.41805949,2.4129646575,1.4955475645833332,1.4955475645833332,1.282,1.32865,1.4102000000000001,1.0574999999999997,False,False,0.0,0.0050948325000002015,0.0,0.0
2023-04-28,flat,A,,0.2,13.885,13.885,0.6062000000000001,0.6062000000000001,0.6062000000000001,0.0,2.41805949,2.41180188,1.4955475645833332,1.4955475645833332,1.282,1.4102000000000001,1.4102000000000001,1.0574999999999997,False,False,0.0,0.0062576100000000245,0.0,0.0
2023-04-28,flat,B,,0.1,13.885,13.885,0.2082,0.2082,0.2082,0.0,2.41805949,2.396900269,1.4955475645833332,1.4955475645833332,1.282,1.282,1.4102000000000001,1.0574999999999997,False,False,-3.552713678800501e-15,0.021159221000000006,0.0,0.0
2023-04-28,flat,B,,0.15,13.885,13.885,0.31229999999999997,0.3123,0.3123,-5.551115123125783e-17,2.41805949,2.3863206585,1.4955475645833332,1.4955475645833332,1.282,1.282,1.4102000000000001,1.0574999999999997,False,False,0.0,0.03173883150000023,0.0,0.0
2023-04-28,flat,B,,0.2,13.885,13.885,0.4164,0.4164,0.4164,0.0,2.41805949,2.375741048,1.4955475645833332,1.4955475645833332,1.282,1.282,1.4102000000000001,1.0574999999999997,False,False,-1.7763568394002505e-15,0.04231844200000001,0.0,0.0
2023-04-28,flat,C,0.0,0.1,13.885,13.885,0.30310000000000004,0.30310000000000004,0.30310000000000004,0.0,2.41805949,2.414662935,1.4955475645833332,1.4955475645833332,1.282,1.274,1.4102000000000001,1.0574999999999997,False,False,0.0,0.0033965550000001343,0.0,0.0
2023-04-28,flat,C,0.0,0.15,13.885,13.885,0.45465,0.45465,0.45465,0.0,2.41805949,2.4129646575,1.4955475645833332,1.4955475645833332,1.282,1.32865,1.4102000000000001,1.0574999999999997,False,False,0.0,0.0050948325000002015,0.0,0.0
2023-04-28,flat,C,0.0,0.2,13.885,13.885,0.6062000000000001,0.6062000000000001,0.6062000000000001,0.0,2.41805949,2.41180188,1.4955475645833332,1.4955475645833332,1.282,1.4102000000000001,1.4102000000000001,1.0574999999999997,False,False,0.0,0.0062576100000000245,0.0,0.0
2023-04-28,flat,C,0.25,0.1,13.885,13.885,0.2082,0.2082,0.2082,0.0,2.41805949,2.396900269,1.4955475645833332,1.4955475645833332,1.282,1.282,1.4102000000000001,1.0574999999999997,False,False,-3.552713678800501e-15,0.021159221000000006,0.0,0.0
