tariff,rule,alpha,flex_share,mean_emission_reduction_kgCO2,total_emission_reduction_kgCO2,mean_cost_change_EUR,total_cost_change_EUR,mean_shift_potential_kWh,mean_shift_out_kWh,mean_shift_in_kWh,mean_unallocated_shift_kWh,mean_max_L0_kWh,mean_max_L_shifted_kWh
flat,A,,0.1,0.00029664252905074046,0.05102251499672736,0.0,0.0,0.12108662790697676,0.12108662790697676,0.12108662790697676,-2.077633930530362e-18,1.0867093023255814,1.086702616284804
flat,A,,0.15,0.0004341408459442528,0.07467222550241148,4.841088770167834e-19,8.326672684688674e-17,0.1816299418604651,0.18159418604651162,0.18159418604651162,3.575581395348877e-05,1.0867093023255814,1.0876248546568872
flat,A,,0.2,0.0005557596091429912,0.09559065277259449,2.743283636428439e-18,4.718447854656915e-16,0.24217325581395352,0.24199011627906977,0.24199011627906977,0.00018313953488371693,1.0867093023255814,1.0932659883777318
flat,B,,0.1,0.01114448086639841,1.9168507090205265,-3.2273925134452225e-19,-5.551115123125783e-17,0.15394244186046513,0.15394244186046513,0.15394244186046513,3.832528609716202e-19,1.0867093023255814,1.0820244186046513
flat,B,,0.15,0.01670490443898468,2.8732435635053655,-3.953555828970398e-18,-6.800116025829084e-16,0.23091366279069767,0.23091366279069767,0.23091366279069767,-1.290957005378089e-18,1.0867093023255814,1.0807587209532292
flat,B,,0.2,0.02226114306397063,3.828916607002949,-4.3569798931510504e-18,-7.494005416219807e-16,0.30788488372093026,0.30788488372093026,0.30788488372093026,1.0892449732877626e-18,1.0867093023255814,1.082314534907122
flat,C,0.0,0.1,0.00029664252905074046,0.05102251499672736,0.0,0.0,0.12108662790697676,0.12108662790697676,0.12108662790697676,-2.077633930530362e-18,1.0867093023255814,1.086702616284804
flat,C,0.0,0.15,0.0004341408459442528,0.07467222550241148,4.841088770167834e-19,8.326672684688674e-17,0.1816299418604651,0.18159418604651162,0.18159418604651162,3.575581395348877e-05,1.0867093023255814,1.0876248546568872
flat,C,0.0,0.2,0.0005557596091429912,0.09559065277259449,2.743283636428439e-18,4.718447854656915e-16,0.24217325581395352,0.24199011627906977,0.24199011627906977,0.00018313953488371693,1.0867093023255814,1.0932659883777318
flat,C,0.25,0.1,0.01114448086639841,1.9168507090205265,-3.2273925134452225e-19,-5.551115123125783e-17,0.15394244186046513,0.15394244186046513,0.15394244186046513,3.832528609716202e-19,1.0867093023255814,1.0820244186046513
flat,C,0.25,0.15,0.01670490443898468,2.8732435635053655,-3.953555828970398e-18,-6.800116025829084e-16,0.23091366279069767,0.23091366279069767,0.23091366279069767,-1.290957005378089e-18,1.0867093023255814,1.0807587209532292
flat,C,0.25,0.2,0.02226114306397063,3.828916607002949,-4.3569798931510504e-18,-7.494005416219807e-16,0.30788488372093026,0.30788488372093026,0.30788488372093026,1.0892449732877626e-18,1.0867093023255814,1.082314534907122
flat,C,0.5,0.1,0.01114448086639841,1.9168507090205265,-3.2273925134452225e-19,-5.551115123125783e-17,0.15394244186046513,0.15394244186046513,0.15394244186046513,3.832528609716202e-19,1.0867093023255814,1.0820244186046513
flat,C,0.5,0.15,0.01670490443898468,2.8732435635053655,-3.953555828970398e-18,-6.800116025829084e-16,0.23091366279069767,0.23091366279069767,0.23091366279069767,-1.290957005378089e-18,1.0867093023255814,1.0807587209532292
flat,C,0.5,0.2,0.02226114306397063,3.828916607002949,-4.3569798931510504e-18,-7.494005416219807e-16,0.30788488372093026,0.30788488372093026,0.30788488372093026,1.0892449732877626e-18,1.0867093023255814,1.082314534907122
flat,C,0.75,0.1,0.01114448086639841,1.9168507090205265,-3.2273925134452225e-19,-5.551115123125783e-17,0.15394244186046513,0.15394244186046513,0.15394244186046513,3.832528609716202e-19,1.0867093023255814,1.0820244186046513
