Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO2/kWh (direct),Carbon intensity gCO2/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023/1/1 0:00,Portugal,Portugal,PT,17.1,44.72,97.29,97.29,entsoe.eu,FALSE,
2023/1/1 1:00,Portugal,Portugal,PT,12.01,42.34,97.08,97.08,entsoe.eu,FALSE,
2023/1/1 2:00,Portugal,Portugal,PT,12.37,43.1,96.99,96.99,entsoe.eu,FALSE,
2023/1/1 3:00,Portugal,Portugal,PT,11.41,40.8,97.21,97.21,entsoe.eu,FALSE,
2023/1/1 4:00,Portugal,Portugal,PT,11.88,42.08,97.09,97.09,entsoe.eu,FALSE,
2023/1/1 5:00,Portugal,Portugal,PT,11.97,42.62,97.05,97.05,entsoe.eu,FALSE,
2023/1/1 6:00,Portugal,Portugal,PT,12.44,43.75,96.95,96.95,entsoe.eu,FALSE,
2023/1/1 7:00,Portugal,Portugal,PT,13.39,46.13,96.72,96.72,entsoe.eu,FALSE,
2023/1/1 8:00,Portugal,Portugal,PT,13.84,47.22,96.62,96.62,entsoe.eu,FALSE,
2023/1/1 9:00,Portugal,Portugal,PT,13.4,45.73,96.72,96.64,entsoe.eu,FALSE,
2023/1/1 10:00,Portugal,Portugal,PT,12.01,43.16,97.06,97.06,entsoe.eu,FALSE,
2023/1/1 11:00,Portugal,Portugal,PT,10.17,38.68,97.5,97.5,entsoe.eu,FALSE,
2023/1/1 12:00,Portugal,Portugal,PT,10.17,38.55,97.51,97.51,entsoe.eu,FALSE,
2023/1/1 13:00,Portugal,Portugal,PT,10.4,38.62,97.45,97.45,entsoe.eu,FALSE,
2023/1/1 14:00,Portugal,Portugal,PT,10.5,38.07,97.42,97.42,entsoe.eu,FALSE,
2023/1/1 15:00,Portugal,Portugal,PT,19.83,44.97,97.41,97.41,entsoe.eu,FALSE,
2023/1/1 16:00,Portugal,Portugal,PT,26.03,49.71,97.07,97.07,entsoe.eu,FALSE,
2023/1/1 17:00,Portugal,Portugal,PT,45.52,63.03,96.51,96.51,entsoe.eu,FALSE,
2023/1/1 18:00,Portugal,Portugal,PT,60.72,73.95,96.09,96.09,entsoe.eu,FALSE,
2023/1/1 19:00,Portugal,Portugal,PT,61.93,74.87,96.07,96.07,entsoe.eu,FALSE,
2023/1/1 20:00,Portugal,Portugal,PT,56.9,71.7,95.97,95.97,entsoe.eu,FALSE,
2023/1/1 21:00,Portugal,Portugal,PT,44.72,60.43,97.31,97.31,entsoe.eu,FALSE,
2023/1/1 22:00,Portugal,Portugal,PT,39.19,56.71,97.62,97.62,entsoe.eu,FALSE,
2023/1/1 23:00,Portugal,Portugal,PT,26.5,51.97,97,97,entsoe.eu,FALSE,
2023/1/2 0:00,Portugal,Portugal,PT,30.67,59.03,96.36,96.36,entsoe.eu,FALSE,
